STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,TIME_PERIOD,OBS_VALUE,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,UNIT_MEASURE_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFE,WB_WDI_SH_STA_SUIC_FE_P5,F,2000,3.9719154791804825,Eastern & Southern Africa,"Suicide mortality rate, female (per 100,000 female population)",Female,All age ranges or no breakdown by age,Per 100 000 women
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFW,WB_WDI_SH_STA_SUIC_FE_P5,F,2000,2.537761246772036,Western & Central Africa,"Suicide mortality rate, female (per 100,000 female population)",Female,All age ranges or no breakdown by age,Per 100 000 women
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ARB,WB_WDI_SH_STA_SUIC_FE_P5,F,2000,2.3914368367751866,Arab World,"Suicide mortality rate, female (per 100,000 female population)",Female,All age ranges or no breakdown by age,Per 100 000 women
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CEB,WB_WDI_SH_STA_SUIC_FE_P5,F,2000,7.817901361588767,Central Europe and the Baltics,"Suicide mortality rate, female (per 100,000 female population)",Female,All age ranges or no breakdown by age,Per 100 000 women
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZMB,WB_WDI_SH_STA_SUIC_FE_P5,F,2016,1.94,Zambia,"Suicide mortality rate, female (per 100,000 female population)",Female,All age ranges or no breakdown by age,Per 100 000 women
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZWE,WB_WDI_SH_STA_SUIC_FE_P5,F,2016,9.77,Zimbabwe,"Suicide mortality rate, female (per 100,000 female population)",Female,All age ranges or no breakdown by age,Per 100 000 women
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFE,WB_WDI_SH_STA_SUIC_FE_P5,F,2017,3.8596748408474,Eastern & Southern Africa,"Suicide mortality rate, female (per 100,000 female population)",Female,All age ranges or no breakdown by age,Per 100 000 women
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFW,WB_WDI_SH_STA_SUIC_FE_P5,F,2017,2.3790906314934555,Western & Central Africa,"Suicide mortality rate, female (per 100,000 female population)",Female,All age ranges or no breakdown by age,Per 100 000 women
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ARB,WB_WDI_SH_STA_SUIC_FE_P5,F,2017,1.6781855610533,Arab World,"Suicide mortality rate, female (per 100,000 female population)",Female,All age ranges or no breakdown by age,Per 100 000 women
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CEB,WB_WDI_SH_STA_SUIC_FE_P5,F,2017,4.846972975433839,Central Europe and the Baltics,"Suicide mortality rate, female (per 100,000 female population)",Female,All age ranges or no breakdown by age,Per 100 000 women
